0	0	0	0	7.5180064874891574e-03
0	0	0	1	2.0105140696676720e-02
0	0	0	2	3.0458282278900760e-02
0	0	0	3	4.5709529674275058e-02
0	0	0	4	6.7741444605135953e-02
0	0	0	5	9.9783292822286762e-02
0	0	0	6	1.5299446333452416e-01
0	0	0	7	2.3690255400757637e-01
0	0	0	8	3.3840572452457574e-01
0	0	0	9	4.4735787211439754e-01
0	0	0	10	5.4528436904921984e-01
0	0	0	11	6.0334200825687823e-01
0	0	0	12	5.8833223619872532e-01
0	0	0	13	4.7614412556052788e-01
0	0	0	14	2.6820559765879237e-01
0	0	30	0	-2.0217356589643712e-04
0	0	30	1	-2.8550693946652371e-03
0	0	30	2	-1.0474043949066938e-02
0	0	30	3	-2.4159900235614370e-02
0	0	30	4	-4.5438418573146400e-02
0	0	30	5	-7.7138552949843453e-02
0	0	30	6	-1.2909539471572992e-01
0	0	30	7	-2.1088792502657433e-01
0	0	30	8	-3.1203829744585998e-01
0	0	30	9	-4.2208020256728795e-01
0	0	30	10	-5.2223883157941953e-01
0	0	30	11	-5.8351741115545308e-01
0	0	30	12	-5.7259353745495600e-01
0	0	30	13	-4.6520981831647124e-01
0	0	30	14	-2.6259943193674379e-01
0	0	31	3	-9.5310463115907745e-05
0	0	31	4	-4.8625806698526803e-03
0	0	31	5	-2.9708473104820006e-02
0	0	31	6	-4.7584444005885726e-02
0	0	31	7	-4.9150731802853793e-02
0	0	31	8	-4.7236589291145686e-02
0	0	31	9	-4.4090875884714720e-02
0	0	31	10	-3.9600871235839510e-02
0	0	31	11	-3.3763756197087630e-02
0	0	31	12	-2.6658466647529022e-02
0	0	31	13	-1.8459282697840994e-02
0	0	31	14	-9.4473049323366594e-03
0	0	32	2	-4.1810841266568060e-05
0	0	32	3	-4.1147165304669204e-03
0	0	32	4	-1.5685486520700197e-02
0	0	32	5	-6.8221227837397510e-03
0	0	32	6	-7.9073068678104015e-04
0	0	33	2	-8.9832744479102864e-04
0	0	33	3	-5.5523542477382186e-03
0	0	33	4	-1.0228330753948584e-03
0	0	34	1	-2.4801222341698531e-05
0	0	34	2	-1.5395920974609493e-03
0	0	34	3	-5.3624121424586293e-04
0	0	35	1	5.9276927922383537e-05
0	0	35	2	-1.3377114024729628e-04
0	0	35	3	-8.1514132411701584e-06
0	0	36	0	1.9112191301058229e-05
0	0	36	1	6.7399638915772205e-04
0	0	36	2	1.0466958391231260e-04
0	0	37	0	2.0661433799378632e-04
0	0	37	1	9.8535806659576708e-04
0	0	37	2	1.5546521672755209e-05
0	0	38	0	6.7352387283592071e-04
0	0	38	1	7.2405235836318319e-04
0	0	39	0	1.1414823928034218e-03
0	0	39	1	3.3536476731763152e-04
0	0	40	0	6.7693451263539531e-04
0	0	40	1	7.1649910113910780e-05
0	0	50	0	7.2239891878829649e-04
0	0	50	1	8.1679627651438745e-05
0	0	51	0	1.4195342503981604e-03
0	0	51	1	4.4384266814965221e-04
0	0	52	0	1.1154726465673775e-03
0	0	52	1	1.2467827006644020e-03
0	0	53	0	4.4806434308128113e-04
0	0	53	1	2.5803862077402131e-03
0	0	53	2	6.4443113093162540e-05
0	0	54	0	5.3533684491618975e-05
0	0	54	1	3.3477486898397298e-03
0	0	54	2	8.2435018387352530e-04
0	0	55	1	2.0019461976235600e-03
0	0	55	2	4.0757144301840830e-03
0	0	55	3	4.5639471051612357e-05
0	0	56	1	3.5018933087112807e-04
0	0	56	2	7.4707848908283914e-03
0	0	56	3	1.8598039587501807e-03
0	0	57	2	2.6946930639654620e-03
0	0	57	3	1.3034311316113045e-02
0	0	57	4	1.9384554324788608e-03
0	0	58	2	9.9159755949685882e-05
0	0	58	3	7.7606049967407185e-03
0	0	58	4	2.4855692565647701e-02
0	0	58	5	9.4174109053971715e-03
0	0	58	6	1.0194423188835614e-03
0	0	59	3	1.5440452393983544e-04
0	0	59	4	7.0765722843622158e-03
0	0	59	5	3.8898792995618887e-02
0	0	59	6	5.7131760611790428e-02
0	0	59	7	5.5500890160320102e-02
0	0	59	8	5.1351935734543483e-02
0	0	59	9	4.6801381187471250e-02
0	0	59	10	4.1390965133021616e-02
0	0	59	11	3.4936499200494062e-02
0	0	59	12	2.7405999862272074e-02
0	0	59	13	1.8901011019573068e-02
0	0	59	14	9.6523498512181959e-03
0	1	0	1	1.1450439602281759e-02
0	1	0	2	3.0458281672541589e-02
0	1	0	3	4.5709529674275051e-02
0	1	0	4	6.7741444605135953e-02
0	1	0	5	9.8732998134588967e-02
0	1	0	6	1.4157572074702390e-01
0	1	0	7	2.0840629661318555e-01
0	1	0	8	3.0961770627317509e-01
0	1	0	9	4.2183163910527954e-01
0	1	0	10	5.2293337804247830e-01
0	1	0	11	5.8454565894301269e-01
0	1	0	12	5.7360571381061187e-01
0	1	0	13	4.6599111458507869e-01
0	1	0	14	2.6302089074615120e-01
0	1	30	1	-3.0263867803905398e-04
0	1	30	2	-4.2537450588745369e-03
0	1	30	3	-1.5485138898718945e-02
0	1	30	4	-3.5320591954279279e-02
0	1	30	5	-6.5407571037430501e-02
0	1	30	6	-1.0817686219247774e-01
0	1	30	7	-1.7401722127584160e-01
0	1	30	8	-2.7295740973319682e-01
0	1	30	9	-3.8540523565424645e-01
0	1	30	10	-4.8908141579357550e-01
0	1	30	11	-5.5509080075385375e-01
0	1	30	12	-5.5005661327437283e-01
0	1	30	13	-4.4956109011618584e-01
0	1	30	14	-2.5457780999337565e-01
0	1	31	4	-6.9855838009578411e-05
0	1	31	5	-5.9404237650968151e-03
0	1	31	6	-4.0077837761504684e-02
0	1	31	7	-6.7396609759647258e-02
0	1	31	8	-7.0229962464993079e-02
0	1	31	9	-6.5904909945413093e-02
0	1	31	10	-5.9519053833657479e-02
0	1	31	11	-5.0968384795658926e-02
0	1	31	12	-4.0369766178371055e-02
0	1	31	13	-2.8011830507675771e-02
0	1	31	14	-1.4353095209742164e-02
0	1	32	3	-3.8931237446239940e-05
0	1	32	4	-5.3763836234704404e-03
0	1	32	5	-2.3268604296306006e-02
0	1	32	6	-1.1867666493415235e-02
